"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ300","IND310","INQ320"
"5777",99479,1,1,2,2,2,2,2,2,2,99,NA,3,2,2,1
"5778",99480,1,2,2,2,2,2,2,2,2,11,3.26,3,1,NA,1
"5779",99481,2,1,2,2,2,2,2,2,1,6,0.92,1,2,1,1
"5780",99482,1,2,2,2,2,2,2,1,2,7,1.31,2,2,1,1
"5781",99483,2,2,1,2,2,2,2,1,2,4,1.55,2,1,NA,1
"5782",99484,2,1,2,2,2,2,2,2,2,1,0.2,1,2,1,1
"5783",99485,1,2,2,2,2,2,2,2,2,11,4.7,3,2,3,1
"5784",99486,2,2,2,2,2,2,2,1,2,10,4.23,3,1,NA,1
"5785",99487,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5786",99488,1,1,2,2,2,2,2,2,2,77,NA,1,7,NA,1
"5787",99489,1,1,2,2,2,2,2,2,2,11,5,3,1,NA,1
"5788",99490,2,2,1,2,1,2,2,2,2,7,2.22,3,1,NA,1
"5789",99491,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5790",99492,2,2,1,2,1,2,2,1,2,6,1.85,2,1,NA,1
"5791",99493,1,2,2,2,2,2,2,1,2,11,3.9,3,2,5,1
"5792",99494,1,1,2,2,2,2,1,2,1,5,0.73,1,2,1,1
"5793",99495,1,2,2,2,2,2,2,2,2,8,1.67,2,2,1,1
"5794",99496,2,2,1,2,2,1,2,2,2,4,0.61,1,2,1,1
"5795",99497,1,2,2,2,2,2,2,2,2,12,4.08,3,1,NA,1
"5796",99498,1,2,2,2,2,2,2,2,2,5,1.78,2,2,2,1
"5797",99499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5798",99500,1,2,2,2,2,2,2,1,2,10,4.37,3,1,NA,1
"5799",99501,2,2,1,2,1,2,2,1,2,7,2.22,3,1,NA,1
"5800",99502,1,2,2,2,2,2,2,2,2,5,1.04,1,2,1,1
"5801",99503,1,1,2,2,2,2,2,1,2,4,1.18,1,2,3,1
"5802",99504,1,2,2,2,2,2,2,2,2,7,1.16,1,1,NA,1
"5803",99505,1,2,2,2,2,2,1,2,2,99,NA,1,2,1,2
"5804",99506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5805",99507,1,2,1,1,2,2,2,2,1,5,0.98,1,2,1,1
"5806",99508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5807",99509,2,2,1,2,1,2,2,2,2,6,1.82,2,2,5,1
"5808",99510,1,2,2,2,2,2,2,2,2,8,1.67,2,2,1,1
"5809",99511,1,1,2,2,2,2,2,2,2,12,5,3,1,NA,1
"5810",99512,2,2,1,2,2,2,1,2,2,99,NA,1,2,1,2
"5811",99513,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,1
"5812",99514,1,2,1,2,1,2,2,2,2,8,2.43,3,1,NA,1
"5813",99515,1,1,2,2,2,2,2,2,2,7,1.18,1,2,1,1
"5814",99516,1,1,2,2,2,2,2,2,2,12,3.91,3,2,3,1
"5815",99517,1,2,2,2,2,2,2,2,2,6,1.22,1,2,2,1
"5816",99518,2,2,1,2,1,2,2,1,2,12,5,3,2,3,1
"5817",99519,2,1,1,2,1,2,2,1,2,8,4.45,3,1,NA,1
"5818",99520,1,1,1,1,2,1,2,2,2,6,1.17,1,2,1,1
"5819",99521,1,2,1,2,1,1,2,1,2,12,5,3,1,NA,1
"5820",99522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5821",99523,1,1,2,2,2,2,2,1,1,7,1.22,1,1,NA,1
"5822",99524,2,2,1,2,1,2,2,2,2,4,0.92,1,2,1,1
"5823",99525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5824",99526,1,2,2,2,2,2,2,1,1,12,5,3,2,1,1
"5825",99527,1,2,2,2,2,2,2,2,2,11,3.17,3,2,2,1
"5826",99528,1,2,2,2,2,2,2,1,2,12,3.02,3,1,NA,1
"5827",99529,1,2,2,2,2,2,2,2,2,7,1.73,2,2,2,1
"5828",99530,1,1,2,2,2,2,2,2,2,3,0.69,1,2,1,1
"5829",99531,1,2,2,2,2,2,2,2,1,3,0.74,1,2,1,1
"5830",99532,1,2,2,2,2,2,2,2,2,8,1.67,2,2,1,1
"5831",99533,2,2,2,2,1,2,2,1,2,12,5,3,1,NA,1
"5832",99534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5833",99535,1,2,1,2,2,2,2,2,2,8,3.95,3,2,3,1
"5834",99536,1,2,1,2,2,1,2,2,2,4,1.49,2,2,1,1
"5835",99537,1,2,1,2,2,1,2,2,2,6,1.17,1,2,1,1
"5836",99538,1,1,1,2,2,2,2,1,2,11,5,3,1,NA,1
"5837",99539,1,2,2,2,2,2,2,2,2,2,0.69,1,2,1,2
"5838",99540,1,2,2,2,2,2,2,2,2,3,0.59,1,2,1,1
"5839",99541,2,2,2,2,2,2,2,2,2,8,3.98,3,2,1,1
"5840",99542,1,2,2,2,2,2,2,2,2,5,0.73,1,2,1,1
"5841",99543,2,2,1,2,2,2,2,1,2,12,5,3,1,NA,1
"5842",99544,1,1,2,1,2,2,1,2,1,5,0.98,1,2,1,1
"5843",99545,1,2,2,2,2,2,2,2,2,3,0.39,1,2,1,1
"5844",99546,1,2,2,2,2,2,1,2,2,4,0.92,1,2,1,1
"5845",99547,1,2,2,2,2,2,2,2,2,3,1,1,2,1,1
"5846",99548,1,2,2,2,2,2,2,2,2,8,3.33,3,2,1,1
"5847",99549,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5848",99550,1,2,2,2,2,2,2,2,2,11,3.21,3,1,NA,1
"5849",99551,1,2,2,2,1,2,2,2,2,8,1.46,2,2,1,1
"5850",99552,1,2,2,2,2,2,2,2,2,1,0,1,2,1,4
"5851",99553,1,2,2,2,2,2,2,2,2,11,3.9,3,1,NA,1
"5852",99554,2,2,1,2,1,2,2,2,2,77,NA,7,7,NA,1
"5853",99555,1,2,2,2,2,2,2,2,2,6,1.22,1,2,2,1
"5854",99556,1,2,1,1,1,2,2,2,1,8,2.2,3,1,NA,1
"5855",99557,1,2,2,2,2,2,2,2,2,6,1.04,1,2,1,4
"5856",99558,1,1,2,2,2,2,2,2,2,6,1.07,1,2,1,1
"5857",99559,2,2,2,1,2,2,2,2,2,99,NA,1,2,1,1
"5858",99560,2,2,2,2,2,2,2,2,2,3,0.58,1,2,1,1
"5859",99561,1,2,2,2,2,2,2,1,2,12,5,3,1,NA,1
"5860",99562,1,2,1,2,2,1,2,2,1,4,0.53,1,2,1,2
